iter	Passed	Remaining
0	154	154137
1	155	77441
2	155	51824
3	156	39016
4	157	31353
5	158	26230
6	159	22580
7	160	19840
8	160	17722
9	161	16018
10	162	14619
11	163	13454
12	164	12472
13	165	11633
14	165	10899
15	166	10254
16	167	9685
17	168	9177
18	169	8725
19	169	8323
20	170	7953
21	171	7622
22	172	7323
23	173	7045
24	174	6796
25	175	6560
26	175	6337
27	176	6132
28	177	5939
29	178	5760
30	179	5597
31	179	5443
32	180	5295
33	181	5158
34	182	5027
35	183	4904
36	184	4789
37	184	4679
38	185	4578
39	186	4479
40	187	4387
41	188	4299
42	189	4212
43	190	4129
44	190	4050
45	191	3975
46	192	3902
47	193	3832
48	194	3766
49	194	3701
50	195	3638
51	196	3579
52	197	3523
53	198	3468
54	198	3416
55	199	3367
56	200	3318
57	201	3272
58	202	3231
59	203	3188
60	204	3147
61	205	3107
62	206	3068
63	207	3029
64	207	2991
65	208	2954
66	209	2917
67	210	2883
68	211	2851
69	212	2819
70	212	2786
71	213	2756
72	214	2727
73	215	2699
74	216	2672
75	217	2647
76	218	2620
77	219	2595
78	220	2568
79	221	2545
80	222	2520
81	222	2496
82	223	2469
83	224	2446
84	225	2425
85	226	2404
86	227	2383
87	227	2361
88	228	2341
89	229	2322
90	230	2302
91	231	2288
92	232	2270
93	233	2252
94	234	2234
95	235	2217
96	236	2199
97	237	2183
98	238	2166
99	238	2150
100	239	2135
101	240	2119
102	241	2104
103	242	2090
104	243	2076
105	244	2061
106	245	2048
107	246	2036
108	247	2022
109	248	2009
110	249	1996
111	250	1983
112	251	1970
113	251	1957
114	252	1944
115	253	1931
116	254	1917
117	254	1905
118	255	1893
119	256	1881
120	257	1869
121	258	1857
122	258	1846
123	259	1834
124	260	1823
125	261	1814
126	262	1802
127	263	1792
128	264	1783
129	264	1773
130	265	1763
131	266	1753
132	267	1743
133	268	1733
134	269	1724
135	270	1715
136	270	1706
137	271	1696
138	272	1687
139	273	1678
140	274	1670
141	274	1659
142	275	1651
143	276	1645
144	277	1637
145	278	1629
146	279	1622
147	280	1613
148	281	1605
149	282	1599
150	283	1591
151	284	1584
152	284	1576
153	285	1569
154	286	1562
155	287	1556
156	288	1549
157	289	1542
158	290	1536
159	291	1529
160	292	1521
161	292	1515
162	293	1508
163	294	1501
164	295	1494
165	296	1488
166	297	1482
167	298	1477
168	299	1470
169	299	1464
170	300	1458
171	301	1451
172	302	1445
173	303	1439
174	304	1433
175	305	1428
176	305	1422
177	306	1416
178	307	1410
179	308	1404
180	309	1399
181	310	1393
182	310	1388
183	311	1382
184	312	1377
185	313	1371
186	314	1365
187	314	1360
188	315	1354
189	316	1349
190	317	1344
191	318	1339
192	319	1334
193	320	1331
194	321	1326
195	322	1321
196	323	1317
197	324	1312
198	324	1307
199	325	1302
200	326	1298
201	327	1293
202	328	1288
203	329	1283
204	329	1279
205	330	1274
206	331	1270
207	332	1266
208	333	1262
209	334	1258
210	335	1254
211	336	1250
212	337	1245
213	338	1241
214	338	1237
215	339	1233
216	340	1229
217	341	1224
218	342	1220
219	343	1216
220	343	1212
221	344	1208
222	345	1204
223	346	1200
224	347	1196
225	348	1192
226	349	1189
227	350	1185
228	351	1182
229	351	1178
230	352	1174
231	353	1170
232	354	1166
233	355	1162
234	356	1158
235	356	1155
236	357	1151
237	358	1147
238	359	1143
239	359	1139
240	360	1135
241	361	1133
242	362	1129
243	363	1126
244	364	1123
245	365	1120
246	366	1117
247	367	1113
248	368	1110
249	369	1107
250	369	1103
251	370	1100
252	371	1097
253	372	1094
254	373	1090
255	374	1087
256	374	1084
257	375	1081
258	376	1078
259	377	1075
260	378	1072
261	379	1069
262	380	1066
263	381	1064
264	382	1061
265	383	1058
266	384	1055
267	385	1052
268	386	1049
269	387	1046
270	388	1044
271	388	1041
272	389	1038
273	390	1035
274	391	1032
275	392	1030
276	393	1027
277	394	1024
278	395	1021
279	396	1018
280	397	1015
281	397	1013
282	398	1010
283	399	1007
284	400	1004
285	401	1001
286	402	999
287	403	996
288	404	994
289	404	991
290	406	989
291	406	986
292	407	984
293	409	982
294	409	979
295	410	977
296	411	974
297	412	972
298	413	969
299	414	967
300	415	965
301	416	962
302	417	960
303	418	957
304	419	955
305	420	953
306	421	951
307	422	948
308	423	946
309	424	944
310	425	941
311	426	939
312	426	937
313	427	934
314	428	932
315	429	930
316	430	927
317	431	925
318	432	922
319	433	920
320	434	918
321	434	915
322	435	913
323	436	910
324	437	908
325	438	906
326	439	904
327	440	902
328	441	900
329	442	898
330	443	896
331	444	894
332	445	892
333	446	889
334	447	887
335	447	885
336	448	883
337	450	882
338	451	880
339	452	878
340	453	876
341	454	874
342	455	872
343	456	870
344	457	868
345	458	866
346	459	864
347	460	862
348	461	860
349	462	858
350	463	856
351	464	854
352	465	852
353	466	850
354	467	848
355	468	846
356	469	845
357	470	843
358	471	841
359	472	839
360	473	837
361	473	835
362	475	833
363	476	831
364	476	829
365	477	827
366	478	825
367	479	823
368	480	821
369	481	820
370	483	819
371	484	817
372	485	815
373	486	813
374	487	811
375	487	809
376	488	807
377	489	805
378	490	804
379	491	802
380	492	800
381	493	798
382	494	797
383	495	795
384	497	794
385	498	792
386	499	791
387	500	789
388	501	787
389	502	785
390	503	783
391	504	781
392	505	780
393	505	778
394	506	776
395	507	774
396	508	772
397	509	770
398	510	768
399	511	767
400	512	765
401	513	763
402	514	762
403	515	760
404	516	758
405	517	756
406	517	754
407	518	752
408	519	750
409	520	749
410	521	747
411	522	745
412	522	743
413	523	741
414	524	739
415	525	737
416	526	735
417	527	734
418	528	732
419	529	730
420	530	729
421	530	727
422	531	725
423	532	723
424	533	722
425	534	720
426	535	718
427	536	716
428	536	714
429	537	712
430	538	710
431	539	708
432	539	707
433	540	705
434	541	703
435	542	701
436	543	700
437	544	698
438	545	696
439	546	695
440	546	693
441	547	691
442	548	689
443	549	687
444	550	686
445	550	684
446	551	682
447	552	680
448	553	679
449	554	677
450	555	676
451	556	674
452	557	673
453	558	671
454	559	669
455	559	668
456	560	666
457	561	664
458	562	663
459	563	661
460	564	659
461	565	658
462	566	656
463	566	654
464	567	653
465	568	651
466	569	649
467	570	648
468	571	647
469	572	645
470	573	644
471	574	642
472	575	641
473	576	639
474	577	637
475	577	636
476	578	634
477	579	633
478	580	631
479	581	629
480	582	628
481	583	626
482	584	625
483	585	624
484	586	622
485	587	621
486	588	619
487	589	618
488	590	616
489	591	615
490	591	613
491	592	612
492	593	610
493	594	609
494	595	607
495	596	606
496	597	604
497	598	603
498	599	601
499	599	599
500	601	598
501	601	597
502	602	595
503	603	594
504	604	592
505	605	591
506	606	589
507	607	588
508	608	586
509	609	585
510	609	583
511	610	582
512	611	580
513	612	579
514	613	577
515	614	576
516	615	574
517	616	573
518	617	571
519	617	570
520	618	568
521	619	567
522	620	565
523	621	564
524	621	562
525	622	561
526	623	559
527	624	558
528	625	556
529	625	554
530	626	553
531	627	551
532	628	550
533	628	548
534	629	547
535	630	545
536	631	544
537	632	542
538	632	541
539	633	539
540	634	538
541	635	536
542	635	535
543	636	533
544	637	532
545	638	530
546	639	529
547	639	527
548	640	526
549	641	524
550	642	523
551	643	522
552	644	520
553	645	519
554	646	518
555	646	516
556	647	515
557	648	513
558	649	512
559	650	510
560	650	509
561	651	507
562	652	506
563	653	505
564	654	503
565	655	502
566	655	500
567	656	499
568	657	498
569	658	496
570	659	495
571	660	494
572	661	492
573	662	491
574	662	489
575	663	488
576	664	487
577	665	485
578	666	484
579	667	483
580	667	481
581	668	480
582	669	478
583	670	477
584	671	476
585	672	474
586	672	473
587	673	472
588	674	470
589	675	469
590	676	468
591	677	466
592	678	465
593	678	464
594	679	462
595	680	461
596	681	459
597	682	458
598	682	457
599	683	455
600	684	454
601	685	453
602	686	451
603	687	450
604	688	449
605	689	448
606	690	446
607	691	445
608	692	444
609	692	442
610	693	441
611	694	440
612	695	438
613	696	437
614	697	436
615	697	435
616	698	433
617	699	432
618	700	431
619	701	429
620	702	428
621	702	427
622	703	425
623	704	424
624	705	423
625	706	421
626	707	420
627	708	419
628	709	418
629	709	416
630	710	415
631	711	414
632	712	413
633	713	411
634	713	410
635	714	408
636	715	407
637	716	406
638	716	405
639	717	403
640	718	402
641	719	401
642	720	399
643	721	398
644	722	397
645	722	396
646	723	394
647	724	393
648	725	392
649	726	391
650	727	389
651	728	388
652	728	387
653	729	386
654	730	384
655	731	383
656	732	382
657	733	381
658	734	380
659	735	378
660	736	377
661	737	376
662	737	375
663	738	373
664	739	372
665	740	371
666	741	370
667	742	368
668	742	367
669	743	366
670	744	364
671	745	363
672	745	362
673	746	361
674	747	359
675	748	358
676	749	357
677	750	356
678	751	355
679	752	353
680	753	352
681	753	351
682	754	350
683	755	349
684	756	347
685	757	346
686	758	345
687	759	344
688	759	342
689	760	341
690	761	340
691	762	339
692	763	338
693	764	337
694	765	335
695	766	334
696	766	333
697	767	332
698	768	331
699	769	329
700	770	328
701	771	327
702	772	326
703	772	324
704	773	323
705	774	322
706	775	321
707	776	320
708	777	318
709	777	317
710	778	316
711	779	315
712	780	314
713	781	313
714	782	311
715	783	310
716	783	309
717	784	308
718	785	307
719	786	305
720	787	304
721	788	303
722	788	302
723	789	301
724	790	299
725	791	298
726	792	297
727	793	296
728	793	295
729	794	293
730	795	292
731	796	291
732	797	290
733	798	289
734	799	288
735	800	286
736	800	285
737	801	284
738	802	283
739	803	282
740	804	281
741	805	279
742	806	278
743	807	277
744	808	276
745	809	275
746	810	274
747	811	273
748	811	272
749	812	270
750	813	269
751	814	268
752	815	267
753	816	266
754	817	265
755	817	263
756	818	262
757	819	261
758	820	260
759	821	259
760	822	258
761	823	257
762	823	255
763	824	254
764	825	253
765	826	252
766	827	251
767	827	250
768	828	248
769	829	247
770	830	246
771	831	245
772	831	244
773	832	243
774	833	241
775	834	240
776	835	239
777	836	238
778	837	237
779	838	236
780	839	235
781	840	234
782	840	233
783	841	231
784	842	230
785	843	229
786	844	228
787	844	227
788	845	226
789	846	225
790	847	223
791	848	222
792	849	221
793	849	220
794	850	219
795	851	218
796	852	217
797	853	216
798	854	214
799	855	213
800	856	212
801	857	211
802	857	210
803	858	209
804	859	208
805	860	207
806	861	206
807	862	204
808	863	203
809	864	202
810	864	201
811	865	200
812	866	199
813	867	198
814	868	197
815	868	195
816	869	194
817	870	193
818	871	192
819	872	191
820	872	190
821	873	189
822	874	188
823	875	186
824	876	185
825	876	184
826	877	183
827	878	182
828	879	181
829	880	180
830	881	179
831	881	178
832	882	176
833	883	175
834	884	174
835	892	175
836	893	174
837	894	172
838	896	171
839	897	170
840	898	169
841	899	168
842	900	167
843	901	166
844	902	165
845	903	164
846	904	163
847	905	162
848	906	161
849	907	160
850	908	159
851	910	158
852	911	157
853	912	156
854	913	154
855	914	153
856	915	152
857	916	151
858	917	150
859	918	149
860	920	148
861	921	147
862	922	146
863	923	145
864	924	144
865	925	143
866	926	142
867	928	141
868	929	140
869	930	139
870	932	138
871	933	137
872	934	135
873	935	134
874	936	133
875	937	132
876	938	131
877	939	130
878	940	129
879	941	128
880	942	127
881	943	126
882	944	125
883	945	124
884	946	122
885	947	121
886	948	120
887	949	119
888	950	118
889	951	117
890	952	116
891	953	115
892	954	114
893	955	113
894	956	112
895	957	111
896	958	110
897	959	108
898	960	107
899	961	106
900	962	105
901	963	104
902	964	103
903	965	102
904	966	101
905	967	100
906	969	99
907	970	98
908	971	97
909	972	96
910	973	95
911	974	94
912	975	92
913	976	91
914	977	90
915	978	89
916	979	88
917	980	87
918	981	86
919	982	85
920	983	84
921	985	83
922	986	82
923	987	81
924	988	80
925	989	79
926	990	77
927	991	76
928	992	75
929	993	74
930	994	73
931	995	72
932	996	71
933	996	70
934	997	69
935	999	68
936	1000	67
937	1001	66
938	1001	65
939	1002	64
940	1003	62
941	1004	61
942	1005	60
943	1006	59
944	1007	58
945	1008	57
946	1009	56
947	1010	55
948	1011	54
949	1012	53
950	1013	52
951	1015	51
952	1016	50
953	1017	49
954	1018	47
955	1018	46
956	1019	45
957	1020	44
958	1021	43
959	1022	42
960	1023	41
961	1024	40
962	1024	39
963	1025	38
964	1026	37
965	1027	36
966	1028	35
967	1029	34
968	1030	32
969	1031	31
970	1032	30
971	1033	29
972	1034	28
973	1035	27
974	1036	26
975	1037	25
976	1038	24
977	1039	23
978	1040	22
979	1041	21
980	1042	20
981	1043	19
982	1044	18
983	1045	17
984	1046	15
985	1047	14
986	1048	13
987	1049	12
988	1050	11
989	1051	10
990	1052	9
991	1053	8
